text,label
I love this product,positive
This movie is amazing,positive
The service was excellent,positive
I am very happy with the results,positive
The food tasted great,positive
This is the best experience ever,positive
I enjoyed the whole event,positive
The app works perfectly,positive
I feel fantastic today,positive
Everything was wonderful,positive
I hate this product,negative
This movie was terrible,negative
The service was very bad,negative
I am disappointed with the results,negative
The food tasted awful,negative
This was the worst experience,negative
I regret buying this item,negative
The app keeps crashing,negative
I feel very upset today,negative
Everything was horrible,negative
